team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Atalanta,32.0,44.9,38.0,418.0,3420.0,45.0,29.0,5.0,6.0,94.0,1.0,1.18,0.76,1.95,1.05,1.82,50.4,45.6,1.33,1.2,38.0,38.0,3420.0,65.0,1.71,172.0,110.0,65.1,11.0,11.0,16.0,9.0,23.7,6.0,5.0,0.0,1.0,38.0,0.0,2.0,3.0,54.5,0.29,-7.5,-0.2,260.0,725.0,35.9,1280.0,121.0,44.2,37.0,284.0,56.0,42.1,518.0,17.0,3.3,32.0,0.84,14.1,134.0,19.0,34.8,3.53,0.1,0.3,0.12,-5.4,-5.6,13368.0,17503.0,76.4,240357.0,96479.0,6038.0,7014.0,86.1,5388.0,6478.0,83.2,1560.0,2901.0,53.8,287.0,969.0,221.0,61.0,884.0,15571.0,1863.0,555.0,47.0,116.0,468.0,134.0,60.0,39.0,1.0,737.0,69.0,366.0,675.0,17.76,498.0,41.0,43.0,38.0,34.0,76.0,2.0,51.0,6.0,4.0,7.0,6.0,2.0,683.0,407.0,385.0,234.0,64.0,307.0,679.0,45.2,372.0,515.0,184.0,331.0,429.0,721.0,8.0,21826.0,2926.0,8402.0,9462.0,4205.0,601.0,21820.0,336.0,635.0,52.9,13117.0,657.0,331.0,1.0,491.0,488.0,69.0,4.0,6.0,3.0,2240.0,518.0,685.0,43.1
vs Bologna,36.0,49.3,38.0,418.0,3420.0,53.0,32.0,8.0,9.0,83.0,4.0,1.39,0.84,2.24,1.18,2.03,59.7,52.5,1.57,1.38,38.0,38.0,3420.0,44.0,1.16,147.0,104.0,72.8,16.0,10.0,12.0,12.0,31.6,5.0,4.0,0.0,1.0,38.0,1.0,9.0,1.0,41.8,0.26,-1.2,-0.03,173.0,466.0,37.1,904.0,160.0,39.2,35.8,230.0,48.7,39.7,481.0,30.0,6.2,34.0,0.89,13.9,175.0,21.0,33.0,4.61,0.08,0.26,0.1,-6.7,-7.5,14274.0,17993.0,79.3,250690.0,89551.0,6554.0,7469.0,87.7,5583.0,6605.0,84.5,1627.0,2789.0,58.3,396.0,1245.0,312.0,83.0,1021.0,16244.0,1661.0,465.0,39.0,153.0,680.0,167.0,66.0,74.0,1.0,691.0,88.0,297.0,949.0,24.97,703.0,70.0,46.0,56.0,52.0,89.0,2.34,63.0,4.0,4.0,8.0,9.0,1.0,574.0,321.0,237.0,231.0,106.0,272.0,598.0,45.5,326.0,383.0,108.0,275.0,376.0,618.0,8.0,21952.0,2105.0,6128.0,9899.0,6144.0,863.0,21944.0,312.0,531.0,58.8,14085.0,643.0,314.0,2.0,527.0,416.0,88.0,8.0,5.0,1.0,2032.0,520.0,492.0,51.4
vs Cagliari,33.0,55.6,38.0,418.0,3420.0,67.0,41.0,7.0,10.0,74.0,5.0,1.76,1.08,2.84,1.58,2.66,64.6,57.0,1.7,1.5,38.0,38.0,3419.0,34.0,0.89,121.0,86.0,74.4,20.0,12.0,5.0,14.0,36.8,4.0,3.0,1.0,0.0,38.0,1.0,4.0,0.0,36.6,0.27,2.6,0.07,170.0,461.0,36.9,1006.0,161.0,34.7,33.4,241.0,46.5,38.8,512.0,21.0,4.1,34.0,0.89,14.5,175.0,20.0,32.1,4.61,0.11,0.34,0.11,2.4,3.0,15763.0,19924.0,79.1,276730.0,102198.0,7231.0,8273.0,87.4,6483.0,7634.0,84.9,1621.0,2904.0,55.8,396.0,1173.0,382.0,88.0,1204.0,17954.0,1894.0,586.0,56.0,123.0,693.0,199.0,68.0,78.0,1.0,786.0,76.0,330.0,926.0,24.37,663.0,85.0,49.0,64.0,48.0,113.0,2.97,80.0,6.0,8.0,9.0,9.0,1.0,488.0,275.0,209.0,212.0,67.0,227.0,479.0,47.4,252.0,390.0,117.0,273.0,306.0,637.0,9.0,23790.0,2206.0,7227.0,11032.0,5768.0,900.0,23780.0,314.0,545.0,57.6,15543.0,655.0,327.0,1.0,526.0,524.0,76.0,6.0,4.0,0.0,2112.0,742.0,696.0,51.6
vs Empoli,28.0,52.9,38.0,418.0,3420.0,64.0,44.0,5.0,10.0,80.0,1.0,1.68,1.16,2.84,1.55,2.71,76.2,68.7,2.01,1.81,38.0,38.0,3420.0,50.0,1.32,158.0,111.0,72.8,16.0,11.0,10.0,9.0,23.7,7.0,7.0,0.0,0.0,38.0,0.0,6.0,3.0,41.1,0.22,-5.9,-0.16,204.0,477.0,42.8,1000.0,200.0,36.7,35.5,251.0,43.8,37.3,532.0,22.0,4.1,32.0,0.84,14.1,209.0,13.0,31.8,5.5,0.09,0.28,0.11,-12.2,-9.7,14955.0,18693.0,80.0,270780.0,104005.0,6818.0,7698.0,88.6,5689.0,6745.0,84.3,1970.0,3134.0,62.9,523.0,1209.0,418.0,107.0,1168.0,16720.0,1907.0,561.0,48.0,250.0,787.0,217.0,91.0,76.0,0.0,743.0,66.0,327.0,1213.0,31.92,871.0,116.0,50.0,97.0,39.0,114.0,3.0,87.0,5.0,5.0,11.0,4.0,2.0,590.0,361.0,283.0,215.0,92.0,255.0,546.0,46.7,291.0,434.0,142.0,292.0,377.0,706.0,7.0,22960.0,2465.0,7188.0,9471.0,6552.0,1120.0,22950.0,333.0,606.0,55.0,14734.0,655.0,295.0,0.0,488.0,482.0,66.0,7.0,7.0,3.0,2051.0,549.0,427.0,56.3
vs Fiorentina,28.0,41.8,38.0,418.0,3420.0,49.0,33.0,3.0,5.0,103.0,4.0,1.29,0.87,2.16,1.21,2.08,46.1,42.4,1.21,1.12,38.0,38.0,3420.0,59.0,1.55,183.0,122.0,72.7,13.0,5.0,18.0,7.0,18.4,12.0,9.0,2.0,1.0,38.0,4.0,4.0,0.0,60.1,0.28,1.1,0.03,238.0,595.0,40.0,1190.0,153.0,37.6,33.7,281.0,52.3,38.1,597.0,24.0,4.0,22.0,0.58,12.4,121.0,7.0,34.5,3.18,0.13,0.38,0.12,2.9,3.6,11993.0,15395.0,77.9,211718.0,82262.0,5399.0,6137.0,88.0,4923.0,5761.0,85.5,1264.0,2443.0,51.7,261.0,714.0,198.0,53.0,745.0,13564.0,1712.0,506.0,54.0,77.0,437.0,127.0,48.0,57.0,0.0,657.0,119.0,292.0,589.0,15.5,391.0,58.0,37.0,35.0,43.0,86.0,2.26,60.0,7.0,5.0,3.0,5.0,6.0,515.0,289.0,264.0,191.0,60.0,240.0,541.0,44.4,301.0,386.0,119.0,267.0,351.0,687.0,4.0,19006.0,2811.0,7771.0,7956.0,3505.0,581.0,19001.0,272.0,541.0,50.3,11801.0,558.0,240.0,3.0,585.0,441.0,119.0,4.0,12.0,0.0,1825.0,456.0,469.0,49.3
vs Genoa,40.0,56.1,38.0,418.0,3420.0,58.0,35.0,4.0,5.0,82.0,1.0,1.53,0.92,2.45,1.42,2.34,58.3,54.4,1.53,1.43,38.0,38.0,3420.0,27.0,0.71,113.0,86.0,81.4,17.0,16.0,4.0,20.0,52.6,7.0,6.0,1.0,0.0,38.0,0.0,2.0,1.0,31.3,0.22,5.3,0.14,206.0,504.0,40.9,1088.0,144.0,33.4,32.7,243.0,58.0,43.6,516.0,30.0,5.8,20.0,0.53,12.9,179.0,20.0,33.4,4.71,0.1,0.3,0.1,-0.3,-0.4,15866.0,20272.0,78.3,290095.0,105114.0,6924.0,8090.0,85.6,6679.0,7878.0,84.8,1900.0,3139.0,60.5,388.0,1165.0,338.0,79.0,1150.0,18174.0,2039.0,609.0,35.0,157.0,648.0,192.0,60.0,87.0,2.0,888.0,59.0,410.0,936.0,24.63,666.0,80.0,51.0,66.0,49.0,96.0,2.53,68.0,5.0,7.0,11.0,5.0,0.0,651.0,370.0,277.0,304.0,70.0,278.0,580.0,47.9,302.0,418.0,105.0,313.0,350.0,736.0,7.0,24632.0,2341.0,7818.0,11203.0,5876.0,899.0,24626.0,378.0,727.0,52.0,15608.0,670.0,390.0,0.0,523.0,530.0,59.0,4.0,7.0,1.0,2257.0,743.0,635.0,53.9
vs Hellas Verona,31.0,49.4,38.0,418.0,3420.0,57.0,38.0,3.0,4.0,74.0,3.0,1.5,1.0,2.5,1.42,2.42,53.7,50.4,1.41,1.33,38.0,38.0,3420.0,65.0,1.71,159.0,96.0,63.5,13.0,11.0,14.0,6.0,15.8,8.0,7.0,0.0,1.0,38.0,0.0,2.0,2.0,51.8,0.29,-11.2,-0.3,290.0,768.0,37.8,1196.0,139.0,48.8,38.5,269.0,68.4,48.3,445.0,11.0,2.5,34.0,0.89,15.6,155.0,20.0,33.0,4.08,0.11,0.35,0.11,3.3,3.6,12510.0,17056.0,73.3,224835.0,92566.0,5616.0,6705.0,83.8,4959.0,6187.0,80.2,1503.0,3030.0,49.6,350.0,983.0,282.0,94.0,901.0,14925.0,2099.0,630.0,30.0,87.0,682.0,187.0,72.0,79.0,1.0,850.0,32.0,368.0,818.0,21.53,578.0,83.0,43.0,49.0,48.0,99.0,2.61,70.0,9.0,4.0,10.0,5.0,1.0,659.0,368.0,305.0,287.0,67.0,276.0,589.0,46.9,313.0,425.0,117.0,308.0,425.0,569.0,16.0,21098.0,2401.0,6991.0,9607.0,4781.0,764.0,21095.0,319.0,557.0,57.3,12273.0,668.0,296.0,0.0,463.0,534.0,32.0,3.0,8.0,2.0,2206.0,733.0,689.0,51.5
vs Inter,27.0,43.4,38.0,418.0,3420.0,31.0,19.0,4.0,4.0,79.0,5.0,0.82,0.5,1.32,0.71,1.21,44.1,41.0,1.16,1.08,38.0,38.0,3420.0,84.0,2.21,248.0,163.0,69.0,4.0,9.0,25.0,3.0,7.9,11.0,7.0,2.0,2.0,38.0,1.0,12.0,1.0,75.3,0.27,-7.7,-0.2,175.0,497.0,35.2,1011.0,194.0,32.8,34.0,321.0,51.4,41.5,628.0,29.0,4.6,27.0,0.71,13.1,123.0,13.0,30.9,3.24,0.07,0.22,0.11,-13.1,-14.0,13450.0,16669.0,80.7,238181.0,85019.0,6154.0,6960.0,88.4,5370.0,6191.0,86.7,1535.0,2614.0,58.7,298.0,856.0,227.0,63.0,792.0,14983.0,1652.0,503.0,21.0,112.0,516.0,131.0,63.0,50.0,0.0,562.0,34.0,290.0,693.0,18.24,480.0,53.0,35.0,58.0,32.0,50.0,1.32,33.0,1.0,1.0,6.0,4.0,5.0,461.0,251.0,230.0,172.0,59.0,216.0,471.0,45.9,255.0,447.0,172.0,275.0,395.0,832.0,8.0,20598.0,2857.0,7691.0,9031.0,4116.0,588.0,20594.0,298.0,545.0,54.7,13291.0,522.0,341.0,1.0,440.0,441.0,34.0,3.0,11.0,1.0,1767.0,476.0,549.0,46.4
vs Juventus,32.0,48.3,38.0,418.0,3420.0,36.0,21.0,4.0,7.0,94.0,4.0,0.95,0.55,1.5,0.84,1.39,42.8,37.3,1.13,0.98,38.0,38.0,3420.0,57.0,1.5,171.0,115.0,69.6,8.0,10.0,20.0,5.0,13.2,6.0,5.0,0.0,1.0,38.0,0.0,7.0,1.0,50.3,0.27,-5.7,-0.15,205.0,519.0,39.5,916.0,135.0,40.8,35.4,286.0,50.7,40.0,443.0,17.0,3.8,26.0,0.68,12.6,116.0,16.0,26.5,3.05,0.07,0.28,0.09,-6.8,-5.3,15048.0,18611.0,80.9,259037.0,89329.0,7165.0,8074.0,88.7,5986.0,6954.0,86.1,1453.0,2545.0,57.1,337.0,1214.0,288.0,81.0,976.0,16719.0,1857.0,556.0,22.0,123.0,730.0,197.0,81.0,77.0,0.0,682.0,35.0,311.0,769.0,20.24,559.0,70.0,28.0,43.0,32.0,58.0,1.53,35.0,4.0,2.0,8.0,6.0,3.0,582.0,334.0,277.0,224.0,81.0,270.0,637.0,42.4,367.0,389.0,120.0,269.0,364.0,570.0,12.0,22353.0,2318.0,6531.0,10191.0,5838.0,701.0,22346.0,293.0,529.0,55.4,14846.0,599.0,319.0,2.0,525.0,471.0,35.0,5.0,6.0,1.0,1894.0,440.0,550.0,44.4
vs Lazio,27.0,44.4,38.0,418.0,3420.0,57.0,40.0,5.0,6.0,100.0,7.0,1.5,1.05,2.55,1.37,2.42,51.9,47.3,1.37,1.24,38.0,38.0,3420.0,77.0,2.03,194.0,118.0,63.9,10.0,10.0,18.0,6.0,15.8,9.0,7.0,2.0,0.0,38.0,0.0,5.0,3.0,64.8,0.29,-9.2,-0.24,194.0,452.0,42.9,1106.0,182.0,29.7,31.0,238.0,51.7,40.8,443.0,20.0,4.5,32.0,0.84,13.2,141.0,13.0,30.4,3.71,0.11,0.37,0.1,5.1,4.7,15276.0,18668.0,81.8,278250.0,92932.0,6571.0,7369.0,89.2,6643.0,7517.0,88.4,1698.0,2822.0,60.2,347.0,954.0,308.0,88.0,906.0,16963.0,1632.0,463.0,36.0,178.0,602.0,146.0,63.0,46.0,0.0,651.0,73.0,309.0,800.0,21.05,572.0,73.0,40.0,53.0,36.0,101.0,2.66,71.0,7.0,6.0,7.0,8.0,2.0,547.0,319.0,243.0,223.0,81.0,274.0,608.0,45.1,334.0,351.0,89.0,262.0,398.0,621.0,14.0,22317.0,2708.0,8382.0,9725.0,4468.0,734.0,22311.0,383.0,621.0,61.7,15088.0,535.0,340.0,3.0,474.0,418.0,73.0,6.0,9.0,3.0,1956.0,427.0,411.0,51.0
vs Milan,28.0,45.8,38.0,418.0,3420.0,29.0,19.0,4.0,5.0,91.0,6.0,0.76,0.5,1.26,0.66,1.16,40.4,36.6,1.06,0.96,38.0,38.0,3420.0,69.0,1.82,193.0,126.0,66.8,4.0,8.0,25.0,4.0,10.5,8.0,5.0,1.0,2.0,38.0,4.0,4.0,3.0,59.9,0.29,-6.1,-0.16,258.0,539.0,47.9,973.0,156.0,40.1,34.7,291.0,51.2,39.5,534.0,24.0,4.5,27.0,0.71,13.6,120.0,9.0,30.3,3.16,0.06,0.21,0.09,-11.4,-11.6,12864.0,16396.0,78.5,229255.0,94498.0,5935.0,6808.0,87.2,5054.0,6043.0,83.6,1490.0,2558.0,58.2,305.0,985.0,229.0,62.0,954.0,14572.0,1761.0,526.0,25.0,167.0,533.0,159.0,74.0,63.0,1.0,650.0,63.0,298.0,679.0,17.87,483.0,63.0,31.0,47.0,31.0,45.0,1.18,28.0,4.0,1.0,7.0,2.0,3.0,635.0,352.0,318.0,250.0,67.0,323.0,779.0,41.5,456.0,431.0,158.0,273.0,356.0,722.0,16.0,20482.0,2590.0,7364.0,8997.0,4372.0,600.0,20477.0,302.0,584.0,51.7,12665.0,686.0,416.0,2.0,533.0,440.0,63.0,3.0,8.0,3.0,2106.0,517.0,521.0,49.8
vs Napoli,27.0,41.5,38.0,418.0,3420.0,30.0,19.0,1.0,1.0,101.0,9.0,0.79,0.5,1.29,0.76,1.26,36.8,36.1,0.97,0.95,38.0,38.0,3420.0,74.0,1.95,199.0,122.0,67.8,7.0,7.0,22.0,4.0,10.5,14.0,10.0,3.0,1.0,38.0,0.0,8.0,0.0,61.1,0.25,-12.9,-0.34,208.0,501.0,41.5,1016.0,159.0,36.5,34.1,257.0,50.6,39.7,422.0,19.0,4.5,35.0,0.92,14.3,135.0,17.0,32.3,3.55,0.07,0.21,0.09,-6.8,-7.1,12959.0,16201.0,80.0,232814.0,87464.0,5743.0,6523.0,88.0,5501.0,6279.0,87.6,1392.0,2506.0,55.5,311.0,989.0,259.0,61.0,937.0,14495.0,1646.0,507.0,37.0,120.0,552.0,145.0,58.0,69.0,0.0,603.0,60.0,301.0,723.0,19.03,528.0,60.0,35.0,42.0,38.0,53.0,1.39,38.0,3.0,3.0,5.0,2.0,2.0,532.0,320.0,248.0,220.0,64.0,238.0,595.0,40.0,357.0,455.0,155.0,300.0,397.0,613.0,19.0,20036.0,2502.0,6979.0,8892.0,4388.0,646.0,20035.0,349.0,617.0,56.6,12747.0,567.0,282.0,5.0,517.0,415.0,60.0,0.0,14.0,0.0,1963.0,403.0,393.0,50.6
