player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,29.0,29.0,2507.0,3.0,2.0,1.0,1.0,0.0,0.0,0.11,0.07,0.18,0.07,0.14,2.1,1.3,0.08,0.05,27.9,5.0,3.0,19.2,0.18,0.08,0.4,0.05,0.9,0.7,1241.0,1595.0,77.8,19052.0,8208.0,668.0,758.0,88.1,470.0,590.0,79.7,73.0,163.0,44.8,32.0,89.0,23.0,3.0,143.0,1202.0,386.0,61.0,2.0,4.0,92.0,45.0,30.0,7.0,4.0,280.0,7.0,20.0,64.0,2.3,34.0,23.0,2.0,1.0,5.0,0.18,3.0,1.0,0.0,0.0,0.0,43.0,23.0,31.0,10.0,2.0,31.0,9.0,22.0,45.0,52.0,1.0,1870.0,89.0,529.0,848.0,515.0,41.0,1869.0,830.0,60.0,41.0,10.0,994.0,31.0,15.0,0.0,9.0,8.0,2.0,0.0,0.0,1.0,176.0,16.0,16.0,50.0
Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,36.0,3240.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.03,0.03,0.0,0.03,0.6,0.6,0.02,0.02,36.0,4.0,0.0,28.6,0.11,0.0,0.0,0.04,-0.6,-0.6,1332.0,1711.0,77.8,17879.0,5691.0,880.0,982.0,89.6,351.0,469.0,74.8,49.0,121.0,40.5,23.0,55.0,28.0,12.0,78.0,1389.0,322.0,23.0,0.0,4.0,73.0,0.0,0.0,0.0,0.0,299.0,0.0,65.0,64.0,1.78,47.0,2.0,3.0,4.0,3.0,0.08,2.0,0.0,0.0,1.0,0.0,48.0,30.0,33.0,9.0,6.0,46.0,29.0,17.0,37.0,97.0,1.0,2144.0,159.0,763.0,868.0,536.0,43.0,2144.0,1259.0,92.0,61.0,21.0,1253.0,54.0,31.0,0.0,29.0,49.0,3.0,1.0,0.0,0.0,178.0,22.0,49.0,31.0
Tammy Abraham,eng ENG,FW,Chelsea,21,1997,34.0,25.0,2215.0,15.0,3.0,0.0,0.0,2.0,0.0,0.61,0.12,0.73,0.61,0.73,16.4,16.4,0.67,0.67,24.6,35.0,0.0,39.8,1.42,0.17,0.43,0.19,-1.4,-1.4,275.0,418.0,65.8,3513.0,697.0,161.0,221.0,72.9,63.0,86.0,73.3,13.0,21.0,61.9,21.0,17.0,7.0,1.0,34.0,367.0,51.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,57.0,2.32,37.0,0.0,10.0,2.0,9.0,0.37,4.0,0.0,2.0,1.0,0.0,8.0,4.0,2.0,5.0,1.0,20.0,2.0,18.0,6.0,27.0,0.0,722.0,30.0,60.0,337.0,334.0,146.0,722.0,333.0,31.0,17.0,10.0,479.0,74.0,42.0,0.0,17.0,24.0,23.0,1.0,0.0,1.0,49.0,89.0,113.0,44.1
Che Adams,sct SCO,FW,Southampton,23,1996,30.0,12.0,1111.0,4.0,2.0,0.0,0.0,0.0,0.0,0.32,0.16,0.49,0.32,0.49,5.3,5.3,0.43,0.43,12.3,9.0,0.0,25.0,0.73,0.11,0.44,0.15,-1.3,-1.3,162.0,263.0,61.6,2292.0,522.0,97.0,124.0,78.2,44.0,73.0,60.3,9.0,19.0,47.4,13.0,9.0,3.0,0.0,16.0,261.0,0.0,0.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,29.0,2.35,18.0,0.0,3.0,3.0,6.0,0.49,3.0,0.0,0.0,2.0,0.0,6.0,4.0,1.0,5.0,0.0,9.0,1.0,8.0,2.0,10.0,0.0,418.0,11.0,29.0,181.0,214.0,60.0,418.0,232.0,20.0,16.0,10.0,298.0,40.0,21.0,0.0,17.0,16.0,10.0,1.0,0.0,0.0,51.0,41.0,75.0,35.3
Adrián,es ESP,GK,Liverpool,32,1987,11.0,9.0,875.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,311.0,76.5,6251.0,4149.0,48.0,48.0,100.0,112.0,113.0,99.1,78.0,148.0,52.7,0.0,3.0,0.0,0.0,0.0,217.0,94.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,331.0,298.0,331.0,0.0,0.0,0.0,331.0,193.0,0.0,1.0,1.0,152.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,100.0
Sergio Agüero,ar ARG,FW,Manchester City,31,1988,24.0,18.0,1452.0,16.0,3.0,2.0,3.0,1.0,0.0,0.99,0.19,1.18,0.87,1.05,14.5,12.1,0.9,0.75,16.1,24.0,0.0,32.9,1.49,0.19,0.58,0.17,1.5,1.9,286.0,365.0,78.4,3050.0,674.0,186.0,218.0,85.3,60.0,76.0,78.9,2.0,5.0,40.0,18.0,15.0,19.0,0.0,34.0,347.0,17.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,57.0,3.53,31.0,0.0,12.0,5.0,7.0,0.43,3.0,0.0,2.0,1.0,0.0,7.0,4.0,0.0,4.0,3.0,9.0,1.0,8.0,3.0,2.0,0.0,544.0,4.0,17.0,178.0,356.0,131.0,541.0,405.0,35.0,26.0,23.0,436.0,34.0,30.0,0.0,9.0,9.0,6.0,2.0,0.0,0.0,37.0,3.0,12.0,20.0
Albian Ajeti,ch SUI,FW,West Ham,22,1997,9.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.11,0.11,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.2,-0.2,12.0,15.0,80.0,117.0,6.0,9.0,12.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,8.0,19.0,7.0,28.0,17.0,0.0,0.0,1.0,22.0,4.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,10.0,9.1
Nathan Aké,nl NED,DF,Bournemouth,24,1995,29.0,29.0,2503.0,2.0,2.0,0.0,0.0,2.0,0.0,0.07,0.07,0.14,0.07,0.14,3.0,3.0,0.11,0.11,27.8,7.0,0.0,28.0,0.25,0.08,0.29,0.12,-1.0,-1.0,1079.0,1238.0,87.2,19315.0,6988.0,435.0,472.0,92.2,554.0,608.0,91.1,82.0,132.0,62.1,7.0,58.0,7.0,0.0,81.0,1183.0,52.0,32.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,20.0,3.0,8.0,14.0,0.5,8.0,0.0,4.0,1.0,1.0,0.04,0.0,0.0,1.0,0.0,0.0,31.0,21.0,23.0,8.0,0.0,40.0,29.0,11.0,36.0,152.0,0.0,1557.0,238.0,888.0,604.0,77.0,36.0,1557.0,958.0,12.0,5.0,0.0,922.0,9.0,5.0,0.0,9.0,13.0,3.0,0.0,0.0,0.0,140.0,60.0,61.0,49.6
Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,20.0,9.0,867.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.31,0.31,0.0,0.31,0.4,0.4,0.04,0.04,9.6,2.0,0.0,20.0,0.21,0.0,0.0,0.04,-0.4,-0.4,339.0,499.0,67.9,5532.0,2035.0,179.0,216.0,82.9,110.0,145.0,75.9,36.0,97.0,37.1,19.0,39.0,21.0,8.0,45.0,464.0,35.0,2.0,3.0,5.0,69.0,10.0,1.0,6.0,1.0,23.0,0.0,14.0,27.0,2.8,23.0,2.0,1.0,0.0,5.0,0.52,5.0,0.0,0.0,0.0,0.0,24.0,17.0,10.0,13.0,1.0,19.0,2.0,17.0,10.0,8.0,0.0,618.0,12.0,102.0,245.0,284.0,20.0,618.0,393.0,20.0,19.0,4.0,423.0,12.0,9.0,0.0,7.0,11.0,1.0,0.0,1.0,0.0,67.0,3.0,7.0,30.0
Toby Alderweireld,be BEL,DF,Tottenham,30,1989,33.0,33.0,2957.0,2.0,2.0,0.0,0.0,7.0,0.0,0.06,0.06,0.12,0.06,0.12,0.7,0.7,0.02,0.02,32.9,4.0,0.0,25.0,0.12,0.13,0.5,0.05,1.3,1.3,1630.0,2009.0,81.1,33738.0,10390.0,480.0,531.0,90.4,924.0,1021.0,90.5,216.0,414.0,52.2,11.0,110.0,13.0,2.0,96.0,1915.0,82.0,72.0,12.0,20.0,9.0,0.0,0.0,0.0,0.0,10.0,12.0,10.0,27.0,0.82,25.0,0.0,1.0,0.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,40.0,29.0,24.0,13.0,3.0,48.0,32.0,16.0,31.0,172.0,2.0,2349.0,344.0,1183.0,1068.0,101.0,22.0,2349.0,1460.0,11.0,18.0,1.0,1566.0,9.0,5.0,0.0,18.0,4.0,1.0,0.0,0.0,1.0,154.0,73.0,73.0,50.0
