player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,14.0,2.0,441.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.06,0.06,4.9,0.0,1.0,0.0,0.0,0.0,0.0,0.03,-0.3,-0.3,185.0,223.0,83.0,3437.0,574.0,79.0,86.0,91.9,83.0,100.0,83.0,19.0,27.0,70.4,1.0,20.0,2.0,0.0,28.0,216.0,5.0,4.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,1.63,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,0.0,282.0,8.0,39.0,147.0,102.0,4.0,282.0,187.0,15.0,14.0,1.0,206.0,12.0,12.0,0.0,10.0,12.0,1.0,0.0,0.0,0.0,31.0,3.0,5.0,37.5
Francesco Acerbi,it ITA,DF,Lazio,32,1988,32.0,32.0,2813.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.03,0.03,0.0,0.03,1.1,1.1,0.03,0.03,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.12,-1.1,-1.1,1854.0,2097.0,88.4,35641.0,11589.0,703.0,767.0,91.7,880.0,930.0,94.6,248.0,352.0,70.5,10.0,110.0,21.0,10.0,141.0,1974.0,119.0,73.0,0.0,24.0,32.0,0.0,0.0,0.0,0.0,22.0,4.0,11.0,31.0,0.99,26.0,1.0,2.0,0.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,51.0,32.0,34.0,13.0,4.0,24.0,15.0,9.0,76.0,121.0,2.0,2430.0,309.0,1122.0,1136.0,191.0,22.0,2430.0,1410.0,41.0,42.0,2.0,1565.0,21.0,10.0,1.0,31.0,24.0,2.0,0.0,0.0,0.0,227.0,62.0,25.0,71.3
Andrea Adorante,it ITA,FW,Parma,20,2000,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Lucien Agoume,fr FRA,MF,Spezia,18,2002,12.0,9.0,800.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.1,-0.1,434.0,487.0,89.1,7835.0,1942.0,191.0,205.0,93.2,187.0,205.0,91.2,47.0,59.0,79.7,2.0,39.0,3.0,1.0,46.0,472.0,12.0,11.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,7.0,0.79,7.0,0.0,0.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,18.0,10.0,11.0,7.0,0.0,10.0,5.0,5.0,15.0,10.0,0.0,563.0,26.0,165.0,338.0,68.0,1.0,563.0,308.0,6.0,6.0,1.0,368.0,9.0,8.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,75.0,12.0,2.0,85.7
Kevin Agudelo,co COL,FW,Spezia,21,1998,29.0,14.0,1356.0,1.0,2.0,0.0,0.0,4.0,0.0,0.07,0.13,0.2,0.07,0.2,1.5,1.5,0.1,0.1,15.1,4.0,0.0,21.1,0.27,0.05,0.25,0.08,-0.5,-0.5,228.0,328.0,69.5,3824.0,848.0,114.0,141.0,80.9,86.0,110.0,78.2,22.0,36.0,61.1,12.0,27.0,10.0,0.0,43.0,310.0,16.0,0.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,2.0,2.0,25.0,38.0,2.52,19.0,1.0,8.0,4.0,7.0,0.46,5.0,1.0,1.0,0.0,0.0,39.0,28.0,9.0,15.0,15.0,30.0,0.0,30.0,10.0,2.0,0.0,544.0,2.0,58.0,233.0,271.0,56.0,544.0,325.0,50.0,35.0,24.0,357.0,35.0,25.0,0.0,20.0,32.0,2.0,0.0,0.0,0.0,60.0,16.0,34.0,32.0
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,32.0,6.0,1056.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.09,0.09,0.0,0.09,1.2,1.2,0.1,0.1,11.7,1.0,0.0,8.3,0.09,0.0,0.0,0.1,-1.2,-1.2,293.0,361.0,81.2,4459.0,907.0,149.0,181.0,82.3,113.0,124.0,91.1,15.0,22.0,68.2,12.0,20.0,7.0,0.0,26.0,340.0,20.0,5.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,19.0,1.62,16.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,38.0,25.0,13.0,22.0,3.0,24.0,6.0,18.0,18.0,13.0,0.0,522.0,20.0,116.0,289.0,132.0,21.0,522.0,270.0,11.0,11.0,3.0,282.0,26.0,13.0,0.0,31.0,12.0,0.0,0.0,0.0,0.0,70.0,9.0,9.0,50.0
Luis Alberto,es ESP,MF,Lazio,27,1992,34.0,33.0,2618.0,9.0,2.0,0.0,0.0,5.0,0.0,0.31,0.07,0.38,0.31,0.38,5.1,5.0,0.18,0.17,29.1,29.0,3.0,42.0,1.0,0.13,0.31,0.07,3.9,4.0,1493.0,1946.0,76.7,25097.0,9846.0,712.0,808.0,88.1,575.0,702.0,81.9,157.0,308.0,51.0,80.0,282.0,83.0,6.0,301.0,1664.0,266.0,71.0,9.0,14.0,150.0,119.0,63.0,38.0,1.0,22.0,16.0,43.0,157.0,5.4,118.0,25.0,4.0,2.0,7.0,0.24,6.0,0.0,0.0,0.0,0.0,43.0,24.0,15.0,19.0,9.0,41.0,2.0,39.0,13.0,11.0,1.0,2254.0,14.0,240.0,1244.0,817.0,63.0,2254.0,1344.0,143.0,124.0,19.0,1577.0,46.0,39.0,0.0,19.0,36.0,2.0,0.0,0.0,0.0,209.0,10.0,12.0,45.5
Bruno Alves,pt POR,DF,Parma,38,1981,19.0,18.0,1632.0,1.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,0.4,0.4,0.02,0.02,18.1,3.0,3.0,30.0,0.17,0.1,0.33,0.04,0.6,0.6,790.0,931.0,84.9,19031.0,7295.0,142.0,160.0,88.8,456.0,499.0,91.4,190.0,256.0,74.2,2.0,43.0,3.0,1.0,50.0,894.0,33.0,29.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,9.0,0.5,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,10.0,3.0,0.0,17.0,12.0,5.0,26.0,81.0,0.0,1096.0,173.0,611.0,446.0,41.0,17.0,1096.0,636.0,0.0,4.0,1.0,721.0,1.0,1.0,0.0,20.0,9.0,1.0,0.0,0.0,0.0,74.0,43.0,5.0,89.6
Wisdom Amey,it ITA,DF,Bologna,14,2005,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,102.0,7.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,31.0,28.0,2441.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.02,0.02,27.1,3.0,0.0,30.0,0.11,0.0,0.0,0.04,-0.4,-0.4,1210.0,1378.0,87.8,23407.0,5627.0,469.0,531.0,88.3,540.0,582.0,92.8,179.0,204.0,87.7,13.0,143.0,11.0,4.0,151.0,1314.0,61.0,38.0,0.0,33.0,16.0,0.0,0.0,0.0,0.0,5.0,3.0,18.0,36.0,1.33,35.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,39.0,22.0,11.0,24.0,4.0,30.0,5.0,25.0,23.0,12.0,0.0,1603.0,33.0,270.0,1091.0,266.0,12.0,1603.0,1051.0,38.0,33.0,3.0,1143.0,33.0,48.0,0.0,59.0,44.0,0.0,0.0,0.0,0.0,188.0,18.0,26.0,40.9
