team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Atalanta,27.0,42.7,38.0,418.0,3420.0,43.0,28.0,4.0,5.0,92.0,6.0,1.13,0.74,1.87,1.03,1.76,41.1,37.2,1.08,0.98,38.0,38.0,3420.0,77.0,2.03,217.0,141.0,65.4,9.0,9.0,20.0,8.0,21.1,4.0,2.0,1.0,1.0,38.0,0.0,9.0,2.0,68.9,0.32,-6.1,-0.16,233.0,633.0,36.8,915.0,133.0,43.6,37.4,368.0,63.6,46.0,634.0,19.0,3.0,24.0,0.63,12.1,129.0,16.0,31.6,3.39,0.1,0.3,0.09,1.9,1.8,12352.0,16443.0,75.1,218763.0,88765.0,5765.0,6640.0,86.8,4612.0,5697.0,81.0,1537.0,2971.0,51.7,298.0,922.0,225.0,78.0,1222.0,14429.0,1927.0,489.0,47.0,147.0,569.0,150.0,50.0,59.0,1.0,805.0,87.0,397.0,716.0,18.84,522.0,63.0,37.0,36.0,72.0,1.89,54.0,5.0,3.0,6.0,1.0,755.0,458.0,416.0,275.0,64.0,475.0,153.0,322.0,472.0,893.0,20.0,20928.0,2572.0,7133.0,9697.0,4343.0,551.0,20923.0,10931.0,595.0,426.0,121.0,12251.0,592.0,369.0,4.0,521.0,411.0,87.0,3.0,4.0,2.0,2128.0,551.0,628.0,46.7
vs Bologna,29.0,55.1,38.0,418.0,3420.0,55.0,40.0,4.0,4.0,98.0,5.0,1.45,1.05,2.5,1.34,2.39,49.0,45.9,1.29,1.21,38.0,38.0,3420.0,48.0,1.26,163.0,118.0,73.6,16.0,11.0,11.0,13.0,34.2,5.0,5.0,0.0,0.0,38.0,2.0,10.0,3.0,46.9,0.26,1.9,0.05,199.0,467.0,42.6,843.0,174.0,35.7,34.0,299.0,55.5,42.9,574.0,20.0,3.5,39.0,1.03,12.6,169.0,10.0,31.7,4.45,0.1,0.3,0.09,6.0,5.1,15964.0,19888.0,80.3,284468.0,102723.0,7180.0,8031.0,89.4,6278.0,7379.0,85.1,1943.0,3200.0,60.7,402.0,1268.0,317.0,87.0,1621.0,17909.0,1932.0,584.0,37.0,202.0,768.0,185.0,67.0,85.0,2.0,778.0,47.0,401.0,932.0,24.53,701.0,72.0,55.0,32.0,93.0,2.45,66.0,7.0,9.0,5.0,1.0,629.0,409.0,310.0,238.0,81.0,380.0,125.0,255.0,369.0,874.0,14.0,24129.0,2112.0,6640.0,11724.0,6042.0,762.0,24125.0,13905.0,769.0,652.0,145.0,15869.0,564.0,427.0,3.0,546.0,493.0,47.0,3.0,5.0,3.0,1983.0,716.0,748.0,48.9
vs Cagliari,30.0,50.2,38.0,418.0,3420.0,52.0,34.0,8.0,10.0,75.0,5.0,1.37,0.89,2.26,1.16,2.05,62.1,55.1,1.63,1.45,38.0,38.0,3420.0,36.0,0.95,126.0,91.0,73.0,17.0,11.0,10.0,14.0,36.8,3.0,2.0,0.0,1.0,38.0,1.0,6.0,1.0,31.9,0.24,-3.1,-0.08,189.0,483.0,39.1,890.0,197.0,35.7,34.9,320.0,51.6,42.4,600.0,21.0,3.5,28.0,0.74,14.0,195.0,19.0,33.4,5.13,0.08,0.23,0.1,-10.1,-11.1,15017.0,19165.0,78.4,274264.0,100629.0,6527.0,7471.0,87.4,6151.0,7295.0,84.3,1872.0,3263.0,57.4,457.0,1132.0,372.0,129.0,1594.0,17072.0,2011.0,594.0,25.0,223.0,812.0,190.0,73.0,67.0,1.0,833.0,82.0,394.0,1053.0,27.71,803.0,76.0,65.0,41.0,85.0,2.24,56.0,3.0,10.0,7.0,0.0,534.0,306.0,251.0,222.0,61.0,365.0,95.0,270.0,377.0,860.0,8.0,23353.0,2218.0,7500.0,10377.0,5715.0,908.0,23343.0,12942.0,828.0,540.0,198.0,14914.0,577.0,392.0,2.0,486.0,539.0,82.0,5.0,3.0,1.0,2017.0,758.0,850.0,47.1
vs Chievo,36.0,56.7,38.0,418.0,3420.0,73.0,54.0,2.0,4.0,64.0,4.0,1.92,1.42,3.34,1.87,3.29,60.3,57.1,1.59,1.5,38.0,38.0,3420.0,25.0,0.66,116.0,89.0,81.9,22.0,14.0,2.0,20.0,52.6,6.0,4.0,2.0,0.0,38.0,1.0,3.0,0.0,33.0,0.24,8.0,0.21,196.0,475.0,41.3,971.0,186.0,33.9,33.4,267.0,54.7,43.0,505.0,20.0,4.0,34.0,0.89,15.0,207.0,26.0,34.8,5.45,0.12,0.34,0.1,12.7,13.9,17799.0,21910.0,81.2,319416.0,110562.0,7890.0,8875.0,88.9,7233.0,8409.0,86.0,2116.0,3393.0,62.4,438.0,1357.0,360.0,93.0,1771.0,19816.0,2038.0,631.0,40.0,266.0,814.0,267.0,106.0,78.0,3.0,810.0,56.0,374.0,1064.0,28.0,772.0,100.0,58.0,63.0,129.0,3.39,94.0,11.0,6.0,9.0,3.0,522.0,315.0,210.0,248.0,64.0,343.0,85.0,258.0,344.0,715.0,4.0,25861.0,2020.0,6986.0,12732.0,6426.0,894.0,25857.0,14735.0,851.0,644.0,171.0,17678.0,565.0,371.0,0.0,497.0,555.0,56.0,3.0,6.0,0.0,2060.0,732.0,695.0,51.3
vs Empoli,29.0,52.1,38.0,418.0,3420.0,68.0,51.0,6.0,8.0,77.0,6.0,1.79,1.34,3.13,1.63,2.97,63.6,57.3,1.67,1.51,38.0,38.0,3420.0,51.0,1.34,153.0,104.0,69.3,20.0,8.0,10.0,10.0,26.3,7.0,4.0,1.0,2.0,38.0,0.0,7.0,3.0,52.5,0.31,4.5,0.12,196.0,461.0,42.5,724.0,173.0,39.6,35.2,291.0,59.8,44.7,509.0,11.0,2.2,27.0,0.71,14.8,228.0,18.0,36.5,6.0,0.1,0.27,0.1,4.4,4.7,16476.0,20106.0,81.9,286327.0,102929.0,7634.0,8472.0,90.1,6528.0,7520.0,86.8,1762.0,2951.0,59.7,499.0,1341.0,357.0,116.0,1649.0,18223.0,1791.0,501.0,35.0,164.0,817.0,203.0,88.0,61.0,5.0,706.0,92.0,297.0,1141.0,30.03,848.0,100.0,62.0,51.0,119.0,3.13,83.0,10.0,5.0,9.0,2.0,590.0,373.0,298.0,230.0,62.0,444.0,127.0,317.0,406.0,750.0,10.0,24215.0,2162.0,6600.0,11614.0,6253.0,892.0,24207.0,13672.0,888.0,673.0,178.0,16362.0,512.0,336.0,3.0,468.0,430.0,92.0,8.0,7.0,3.0,1955.0,544.0,431.0,55.8
vs Fiorentina,27.0,49.6,38.0,418.0,3420.0,42.0,32.0,5.0,6.0,97.0,1.0,1.11,0.84,1.95,0.97,1.82,41.0,36.5,1.08,0.96,38.0,38.0,3420.0,47.0,1.24,174.0,128.0,75.9,13.0,17.0,8.0,14.0,36.8,6.0,5.0,1.0,0.0,38.0,2.0,3.0,2.0,53.9,0.28,8.9,0.23,216.0,611.0,35.4,844.0,190.0,39.5,34.8,396.0,70.2,49.5,614.0,16.0,2.6,35.0,0.92,14.6,141.0,33.0,30.7,3.71,0.08,0.26,0.08,1.0,0.5,12874.0,17040.0,75.6,223791.0,89707.0,6154.0,7071.0,87.0,4862.0,6086.0,79.9,1404.0,2802.0,50.1,341.0,970.0,255.0,85.0,1357.0,14926.0,2063.0,571.0,33.0,126.0,740.0,201.0,75.0,88.0,2.0,810.0,51.0,350.0,822.0,21.63,600.0,76.0,47.0,47.0,74.0,1.95,56.0,7.0,4.0,4.0,0.0,661.0,408.0,343.0,238.0,80.0,412.0,154.0,258.0,383.0,916.0,15.0,21229.0,2368.0,6739.0,9698.0,5037.0,634.0,21223.0,11771.0,695.0,544.0,118.0,12765.0,565.0,393.0,0.0,537.0,532.0,51.0,0.0,6.0,2.0,1872.0,623.0,637.0,49.4
vs Frosinone,33.0,58.5,38.0,418.0,3420.0,68.0,50.0,5.0,5.0,78.0,4.0,1.79,1.32,3.11,1.66,2.97,62.0,58.1,1.63,1.53,38.0,38.0,3420.0,29.0,0.76,125.0,96.0,80.0,23.0,10.0,5.0,21.0,55.3,5.0,4.0,1.0,0.0,38.0,0.0,5.0,1.0,33.8,0.24,5.8,0.15,173.0,417.0,41.5,760.0,169.0,30.9,32.1,305.0,59.7,45.3,628.0,20.0,3.2,21.0,0.55,13.6,208.0,26.0,33.0,5.47,0.1,0.3,0.09,6.0,4.9,18496.0,22388.0,82.6,316166.0,107608.0,8869.0,9826.0,90.3,7260.0,8409.0,86.3,1819.0,3002.0,60.6,491.0,1480.0,374.0,89.0,1801.0,20458.0,1868.0,603.0,30.0,182.0,794.0,204.0,67.0,78.0,2.0,689.0,62.0,344.0,1141.0,30.03,850.0,102.0,61.0,53.0,124.0,3.26,84.0,7.0,13.0,10.0,1.0,562.0,342.0,256.0,239.0,67.0,384.0,114.0,270.0,334.0,820.0,13.0,26455.0,1994.0,6435.0,13125.0,7143.0,871.0,26450.0,16042.0,1033.0,805.0,180.0,18398.0,561.0,358.0,2.0,558.0,530.0,62.0,5.0,5.0,1.0,2036.0,715.0,621.0,53.5
vs Genoa,31.0,56.6,38.0,418.0,3420.0,55.0,40.0,5.0,6.0,87.0,4.0,1.45,1.05,2.5,1.32,2.37,53.3,48.6,1.4,1.28,38.0,38.0,3420.0,39.0,1.03,152.0,114.0,77.0,16.0,14.0,8.0,12.0,31.6,5.0,4.0,1.0,0.0,38.0,0.0,7.0,2.0,43.9,0.26,6.9,0.18,229.0,503.0,45.5,877.0,206.0,34.4,32.8,343.0,58.6,44.7,640.0,26.0,4.1,25.0,0.66,13.5,164.0,17.0,32.0,4.32,0.1,0.3,0.1,1.7,1.4,16279.0,20367.0,79.9,289064.0,105440.0,7257.0,8220.0,88.3,6623.0,7804.0,84.9,1841.0,3113.0,59.1,388.0,1207.0,349.0,99.0,1627.0,18337.0,1961.0,600.0,39.0,169.0,725.0,195.0,71.0,78.0,3.0,746.0,69.0,343.0,926.0,24.37,694.0,71.0,58.0,45.0,101.0,2.66,73.0,6.0,9.0,5.0,3.0,541.0,340.0,272.0,216.0,53.0,381.0,131.0,250.0,350.0,981.0,10.0,24636.0,2362.0,7449.0,11482.0,5918.0,762.0,24630.0,14432.0,760.0,577.0,140.0,16168.0,571.0,417.0,1.0,509.0,523.0,69.0,4.0,5.0,2.0,1947.0,749.0,758.0,49.7
vs Inter,23.0,40.6,38.0,418.0,3420.0,30.0,22.0,3.0,5.0,99.0,5.0,0.79,0.58,1.37,0.71,1.29,38.3,34.3,1.01,0.9,38.0,38.0,3420.0,57.0,1.5,195.0,137.0,74.9,9.0,9.0,20.0,9.0,23.7,9.0,8.0,1.0,0.0,38.0,0.0,10.0,0.0,55.7,0.25,-1.3,-0.03,255.0,623.0,40.9,890.0,206.0,41.9,36.3,389.0,64.3,46.8,878.0,38.0,4.3,9.0,0.24,8.4,124.0,22.0,29.7,3.26,0.06,0.22,0.08,-8.3,-7.3,12229.0,15792.0,77.4,220336.0,85087.0,5525.0,6309.0,87.6,4825.0,5738.0,84.1,1482.0,2744.0,54.0,316.0,831.0,278.0,95.0,1208.0,13931.0,1799.0,501.0,30.0,176.0,627.0,150.0,62.0,60.0,1.0,662.0,62.0,350.0,743.0,19.55,562.0,53.0,30.0,43.0,51.0,1.34,36.0,5.0,3.0,4.0,0.0,535.0,341.0,285.0,178.0,72.0,445.0,166.0,279.0,434.0,1133.0,16.0,20111.0,2831.0,7377.0,8625.0,4356.0,621.0,20106.0,11235.0,639.0,518.0,136.0,12173.0,501.0,361.0,2.0,516.0,438.0,62.0,3.0,9.0,0.0,1869.0,589.0,519.0,53.2
vs Juventus,31.0,44.1,38.0,418.0,3420.0,29.0,19.0,2.0,4.0,95.0,3.0,0.76,0.5,1.26,0.71,1.21,35.8,32.7,0.94,0.86,38.0,38.0,3417.0,70.0,1.84,199.0,132.0,68.3,4.0,6.0,28.0,3.0,7.9,8.0,7.0,1.0,0.0,38.0,1.0,11.0,4.0,59.1,0.26,-6.9,-0.18,258.0,645.0,40.0,805.0,177.0,47.1,37.1,366.0,72.7,49.5,691.0,15.0,2.2,21.0,0.55,11.6,108.0,23.0,24.5,2.84,0.06,0.25,0.08,-6.8,-5.7,13679.0,17157.0,79.7,233691.0,85414.0,6736.0,7497.0,89.8,5105.0,6083.0,83.9,1382.0,2586.0,53.4,316.0,974.0,212.0,60.0,1250.0,15282.0,1840.0,517.0,13.0,160.0,655.0,179.0,84.0,76.0,1.0,669.0,35.0,343.0,775.0,20.39,569.0,60.0,50.0,40.0,47.0,1.24,36.0,4.0,2.0,2.0,2.0,581.0,372.0,285.0,212.0,84.0,418.0,153.0,265.0,362.0,913.0,15.0,21149.0,2409.0,6638.0,9818.0,4906.0,550.0,21145.0,11991.0,652.0,591.0,117.0,13605.0,506.0,357.0,1.0,501.0,443.0,35.0,1.0,8.0,4.0,1784.0,469.0,534.0,46.8
vs Lazio,30.0,49.2,38.0,418.0,3420.0,43.0,25.0,5.0,6.0,86.0,4.0,1.13,0.66,1.79,1.0,1.66,47.0,42.3,1.24,1.11,38.0,38.0,3420.0,56.0,1.47,188.0,134.0,73.4,13.0,8.0,17.0,5.0,13.2,6.0,6.0,0.0,0.0,38.0,1.0,8.0,2.0,55.8,0.27,1.8,0.05,177.0,474.0,37.3,858.0,199.0,33.8,33.6,330.0,55.8,44.2,610.0,20.0,3.3,35.0,0.92,13.3,143.0,22.0,30.8,3.76,0.08,0.27,0.09,-4.0,-4.3,15314.0,19222.0,79.7,270532.0,95812.0,6920.0,7787.0,88.9,6129.0,7283.0,84.2,1745.0,3014.0,57.9,331.0,1064.0,236.0,62.0,1455.0,17259.0,1917.0,570.0,29.0,185.0,683.0,180.0,80.0,68.0,1.0,744.0,46.0,369.0,807.0,21.24,589.0,56.0,50.0,43.0,73.0,1.92,46.0,5.0,9.0,8.0,1.0,600.0,377.0,324.0,216.0,60.0,471.0,163.0,308.0,439.0,885.0,13.0,23462.0,2431.0,7053.0,11666.0,4986.0,605.0,23456.0,13493.0,700.0,517.0,127.0,15237.0,522.0,378.0,3.0,415.0,488.0,46.0,6.0,6.0,2.0,2007.0,539.0,612.0,46.8
